Year,Date,Time,Address,Borough,zip,Latitude,Longitude
2022,2022-07-01,6:02:00,"187 HARMAN STREET,BROOKLYN,NY 11221",Brooklyn,11221,40.697739,-73.921253
2022,2022-07-01,12:37:00,"99-12 ALSTYNE AVENUE,QUEENS,NY 11368",Queens,11368,40.743522,-73.862478
2022,2022-07-01,14:47:00,"34-24 32nd St, Queens, NY 11106, USA",Queens,11106,40.758682,-73.927127
2022,2022-07-02,13:05:00,"30-51 12 STREET,QUEENS,NY 11102",Queens,11102,40.770155,-73.932156
2022,2022-07-04,9:46:00,"225 Cross Bronx Expy, The Bronx, NY 10457, USA",Bronx,10457,40.845277,-73.907827
2022,2022-07-05,1:08:00,Troutman St. and Irving Ave Brooklyn,Brooklyn,11237,40.704825,-73.924585
2022,2022-07-05,3:14:00,"1181 Bushwick Ave, Brooklyn, NY 11221, USA",Brooklyn,11221,40.688738,-73.91644
2022,2022-07-06,14:56:00,"1535 WALTON AVENUE,BRONX,NY 10452",Bronx,10452,40.842672,-73.913995
2022,2022-07-10,18:00:00,"23-25 30th Dr, Long Island City, NY 11102, USA",Queens,11102,40.767341,-73.926916
2022,2022-07-10,22:40:00,"47 Featherbed Ln, The Bronx, NY 10453, USA",Bronx,10453,40.845971,-73.915954
2022,2022-07-11,7:08:00,"441 Beach 51st St, Queens, NY 11691, USA",Queens,11691,40.596744,-73.782123
2022,2022-07-13,1:13:00,"241 W 23rd St, New York, NY 10011, USA",Manhattan,10011,40.744836,-73.996991
2022,2022-07-13,9:35:00,"5709 PRESTON COURT,BROOKLYN,NY 11234",Brooklyn,11234,40.639522,-73.922315
